batterID,dateTime,gamePk,appearance,result
686217,2025-03-27T19:05:00Z,778557,1,Single
687401,2025-03-27T19:05:00Z,778557,1,Forceout
669003,2025-03-27T19:05:00Z,778557,1,Groundout
665862,2025-03-27T19:05:00Z,778557,1,Strikeout
691176,2025-03-27T19:05:00Z,778557,1,Groundout
683011,2025-03-27T19:05:00Z,778557,1,Home Run
700250,2025-03-27T19:05:00Z,778557,1,Strikeout
681962,2025-03-27T19:05:00Z,778557,1,Home Run
668930,2025-03-27T19:05:00Z,778557,1,Single
694192,2025-03-27T19:05:00Z,778557,2,Strikeout
592885,2025-03-27T19:05:00Z,778557,2,Lineout
661388,2025-03-27T19:05:00Z,778557,2,Strikeout
665828,2025-03-27T19:05:00Z,778557,1,Lineout
669224,2025-03-27T19:05:00Z,778557,2,Strikeout
592450,2025-03-27T19:05:00Z,778557,2,Strikeout
656555,2025-03-27T19:05:00Z,778557,2,Strikeout
686217,2025-03-27T19:05:00Z,778557,2,Single
687401,2025-03-27T19:05:00Z,778557,2,Groundout
669003,2025-03-27T19:05:00Z,778557,2,Groundout
641355,2025-03-27T19:05:00Z,778557,2,Single
502671,2025-03-27T19:05:00Z,778557,2,Strikeout
665862,2025-03-27T19:05:00Z,778557,2,Pop Out
691176,2025-03-27T19:05:00Z,778557,2,Groundout
681962,2025-03-27T19:05:00Z,778557,2,Strikeout
668930,2025-03-27T19:05:00Z,778557,2,Strikeout
694192,2025-03-27T19:05:00Z,778557,3,Strikeout
683011,2025-03-27T19:05:00Z,778557,2,Strikeout
700250,2025-03-27T19:05:00Z,778557,2,Single
665828,2025-03-27T19:05:00Z,778557,2,Flyout
669224,2025-03-27T19:05:00Z,778557,3,Walk
592450,2025-03-27T19:05:00Z,778557,3,Strikeout
592885,2025-03-27T19:05:00Z,778557,3,Walk
661388,2025-03-27T19:05:00Z,778557,3,Forceout
656555,2025-03-27T19:05:00Z,778557,3,Walk
686217,2025-03-27T19:05:00Z,778557,3,Forceout
687401,2025-03-27T19:05:00Z,778557,3,Single
686555,2025-03-27T19:05:00Z,778557,1,Forceout
641355,2025-03-27T19:05:00Z,778557,3,Walk
502671,2025-03-27T19:05:00Z,778557,3,Strikeout
665862,2025-03-27T19:05:00Z,778557,3,Walk
691176,2025-03-27T19:05:00Z,778557,3,Pop Out
683011,2025-03-27T19:05:00Z,778557,3,Groundout
681962,2025-03-27T19:05:00Z,778557,3,Groundout
668930,2025-03-27T19:05:00Z,778557,3,Strikeout
694192,2025-03-27T19:05:00Z,778557,4,Strikeout
700250,2025-03-27T19:05:00Z,778557,3,Walk
665828,2025-03-27T19:05:00Z,778557,3,Single
669224,2025-03-27T19:05:00Z,778557,4,Pop Out
592450,2025-03-27T19:05:00Z,778557,4,Double
641355,2025-03-27T19:05:00Z,778557,4,Sac Fly
502671,2025-03-27T19:05:00Z,778557,4,Lineout
592885,2025-03-27T19:05:00Z,778557,4,Strikeout
661388,2025-03-27T19:05:00Z,778557,4,Groundout
656555,2025-03-27T19:05:00Z,778557,4,Walk
686217,2025-03-27T19:05:00Z,778557,4,Strikeout
665862,2025-03-27T19:05:00Z,778557,4,Strikeout
663757,2025-03-27T19:05:00Z,778557,1,Single
683011,2025-03-27T19:05:00Z,778557,4,Flyout
687401,2025-03-27T19:05:00Z,778557,4,Single
686555,2025-03-27T19:05:00Z,778557,2,Double
641343,2025-03-27T19:05:00Z,778557,1,Walk
668930,2025-03-27T19:05:00Z,778557,4,Sac Fly
694192,2025-03-27T19:05:00Z,778557,5,Strikeout
592885,2025-03-27T19:05:00Z,778557,5,Strikeout
681297,2025-03-27T19:07:00Z,778556,1,Strikeout
668939,2025-03-27T19:07:00Z,778556,1,Home Run
676059,2025-03-27T19:07:00Z,778556,1,Single
656811,2025-03-27T19:07:00Z,778556,1,Double Play
666182,2025-03-27T19:07:00Z,778556,1,Lineout
665489,2025-03-27T19:07:00Z,778556,1,Strikeout
623993,2025-03-27T19:07:00Z,778556,1,Pop Out
641933,2025-03-27T19:07:00Z,778556,1,Walk
663624,2025-03-27T19:07:00Z,778556,1,Double
656775,2025-03-27T19:07:00Z,778556,1,Single
602104,2025-03-27T19:07:00Z,778556,1,Pop Out
702616,2025-03-27T19:07:00Z,778556,1,Strikeout
665926,2025-03-27T19:07:00Z,778556,1,Flyout
672386,2025-03-27T19:07:00Z,778556,1,Groundout
543807,2025-03-27T19:07:00Z,778556,1,Strikeout
681297,2025-03-27T19:07:00Z,778556,2,Walk
668939,2025-03-27T19:07:00Z,778556,2,Single
676059,2025-03-27T19:07:00Z,778556,2,Strikeout
656811,2025-03-27T19:07:00Z,778556,2,Pop Out
641933,2025-03-27T19:07:00Z,778556,2,Home Run
663624,2025-03-27T19:07:00Z,778556,2,Lineout
695238,2025-03-27T19:07:00Z,778556,1,Groundout
676391,2025-03-27T19:07:00Z,778556,1,Flyout
702176,2025-03-27T19:07:00Z,778556,1,Flyout
656775,2025-03-27T19:07:00Z,778556,2,Home Run
602104,2025-03-27T19:07:00Z,778556,2,Groundout
702616,2025-03-27T19:07:00Z,778556,2,Flyout
681297,2025-03-27T19:07:00Z,778556,3,Flyout
666182,2025-03-27T19:07:00Z,778556,2,Groundout
665489,2025-03-27T19:07:00Z,778556,2,Walk
623993,2025-03-27T19:07:00Z,778556,2,Flyout
665926,2025-03-27T19:07:00Z,778556,2,Home Run
672386,2025-03-27T19:07:00Z,778556,2,Groundout
668939,2025-03-27T19:07:00Z,778556,3,Strikeout
676059,2025-03-27T19:07:00Z,778556,3,Pop Out
656811,2025-03-27T19:07:00Z,778556,3,Single
641933,2025-03-27T19:07:00Z,778556,3,Single
663624,2025-03-27T19:07:00Z,778556,3,Strikeout
543807,2025-03-27T19:07:00Z,778556,2,Groundout
695238,2025-03-27T19:07:00Z,778556,2,Flyout
676391,2025-03-27T19:07:00Z,778556,2,Lineout
656775,2025-03-27T19:07:00Z,778556,3,Flyout
602104,2025-03-27T19:07:00Z,778556,3,Walk
702616,2025-03-27T19:07:00Z,778556,3,Strikeout
681297,2025-03-27T19:07:00Z,778556,4,Hit By Pitch
668939,2025-03-27T19:07:00Z,778556,4,Flyout
702176,2025-03-27T19:07:00Z,778556,2,Single
666182,2025-03-27T19:07:00Z,778556,3,Flyout
665489,2025-03-27T19:07:00Z,778556,3,Flyout
623993,2025-03-27T19:07:00Z,778556,3,Lineout
676059,2025-03-27T19:07:00Z,778556,4,Walk
656811,2025-03-27T19:07:00Z,778556,4,Lineout
641933,2025-03-27T19:07:00Z,778556,4,Single
663624,2025-03-27T19:07:00Z,778556,4,Forceout
656775,2025-03-27T19:07:00Z,778556,4,Home Run
602104,2025-03-27T19:07:00Z,778556,4,Strikeout
665926,2025-03-27T19:07:00Z,778556,3,Walk
672386,2025-03-27T19:07:00Z,778556,3,Grounded Into DP
543807,2025-03-27T19:07:00Z,778556,3,Walk
695238,2025-03-27T19:07:00Z,778556,3,Single
676391,2025-03-27T19:07:00Z,778556,3,Pop Out
702616,2025-03-27T19:07:00Z,778556,4,Single
681297,2025-03-27T19:07:00Z,778556,5,Pop Out
668939,2025-03-27T19:07:00Z,778556,5,Home Run
676059,2025-03-27T19:07:00Z,778556,5,Home Run
656811,2025-03-27T19:07:00Z,778556,5,Flyout
641933,2025-03-27T19:07:00Z,778556,5,Walk
663624,2025-03-27T19:07:00Z,778556,5,Strikeout
702176,2025-03-27T19:07:00Z,778556,3,Walk
666182,2025-03-27T19:07:00Z,778556,4,Grounded Into DP
665489,2025-03-27T19:07:00Z,778556,4,Walk
623993,2025-03-27T19:07:00Z,778556,4,Pop Out
656775,2025-03-27T19:07:00Z,778556,5,Groundout
602104,2025-03-27T19:07:00Z,778556,5,Flyout
702616,2025-03-27T19:07:00Z,778556,5,Flyout
665926,2025-03-27T19:07:00Z,778556,4,Pop Out
672386,2025-03-27T19:07:00Z,778556,4,Single
543807,2025-03-27T19:07:00Z,778556,4,Strikeout
680776,2025-03-27T20:05:00Z,778553,1,Groundout
646240,2025-03-27T20:05:00Z,778553,1,Strikeout
608324,2025-03-27T20:05:00Z,778553,1,Groundout
543760,2025-03-27T20:05:00Z,778553,1,Strikeout
608369,2025-03-27T20:05:00Z,778553,1,Flyout
694671,2025-03-27T20:05:00Z,778553,1,Walk
666969,2025-03-27T20:05:00Z,778553,1,Flyout
671213,2025-03-27T20:05:00Z,778553,1,Strikeout
596115,2025-03-27T20:05:00Z,778553,1,Strikeout
692225,2025-03-27T20:05:00Z,778553,1,Strikeout
669394,2025-03-27T20:05:00Z,778553,1,Walk
673962,2025-03-27T20:05:00Z,778553,1,Single
607680,2025-03-27T20:05:00Z,778553,1,Single
543309,2025-03-27T20:05:00Z,778553,1,Pop Out
669701,2025-03-27T20:05:00Z,778553,1,Strikeout
543760,2025-03-27T20:05:00Z,778553,2,Groundout
677800,2025-03-27T20:05:00Z,778553,1,Single
657136,2025-03-27T20:05:00Z,778553,1,Single
678882,2025-03-27T20:05:00Z,778553,1,Forceout
680776,2025-03-27T20:05:00Z,778553,2,Lineout
646240,2025-03-27T20:05:00Z,778553,2,Strikeout
608369,2025-03-27T20:05:00Z,778553,2,Strikeout
694671,2025-03-27T20:05:00Z,778553,2,Flyout
666969,2025-03-27T20:05:00Z,778553,2,Groundout
608324,2025-03-27T20:05:00Z,778553,2,Flyout
671213,2025-03-27T20:05:00Z,778553,2,Groundout
596115,2025-03-27T20:05:00Z,778553,2,Strikeout
669394,2025-03-27T20:05:00Z,778553,2,Groundout
673962,2025-03-27T20:05:00Z,778553,2,Groundout
607680,2025-03-27T20:05:00Z,778553,2,Single
543309,2025-03-27T20:05:00Z,778553,2,Double
669701,2025-03-27T20:05:00Z,778553,2,Strikeout
692225,2025-03-27T20:05:00Z,778553,2,Groundout
677800,2025-03-27T20:05:00Z,778553,2,Home Run
657136,2025-03-27T20:05:00Z,778553,2,Lineout
678882,2025-03-27T20:05:00Z,778553,2,Flyout
543760,2025-03-27T20:05:00Z,778553,3,Single
608369,2025-03-27T20:05:00Z,778553,3,Grounded Into DP
694671,2025-03-27T20:05:00Z,778553,3,Groundout
680776,2025-03-27T20:05:00Z,778553,3,Strikeout
646240,2025-03-27T20:05:00Z,778553,3,Strikeout
608324,2025-03-27T20:05:00Z,778553,3,Strikeout
666969,2025-03-27T20:05:00Z,778553,3,Flyout
669394,2025-03-27T20:05:00Z,778553,3,Flyout
673962,2025-03-27T20:05:00Z,778553,3,Single
607680,2025-03-27T20:05:00Z,778553,3,Flyout
671213,2025-03-27T20:05:00Z,778553,3,Groundout
596115,2025-03-27T20:05:00Z,778553,3,Lineout
692225,2025-03-27T20:05:00Z,778553,3,Walk
677800,2025-03-27T20:05:00Z,778553,3,Walk
657136,2025-03-27T20:05:00Z,778553,3,Strikeout
543309,2025-03-27T20:05:00Z,778553,3,Flyout
669701,2025-03-27T20:05:00Z,778553,3,Groundout
543760,2025-03-27T20:05:00Z,778553,4,Strikeout
678882,2025-03-27T20:05:00Z,778553,3,Strikeout
680776,2025-03-27T20:05:00Z,778553,4,Single
646240,2025-03-27T20:05:00Z,778553,4,Groundout
608324,2025-03-27T20:05:00Z,778553,4,Lineout
608369,2025-03-27T20:05:00Z,778553,4,Strikeout
694671,2025-03-27T20:05:00Z,778553,4,Single
666969,2025-03-27T20:05:00Z,778553,4,Flyout
669394,2025-03-27T20:05:00Z,778553,4,Forceout
671213,2025-03-27T20:05:00Z,778553,4,Strikeout
596115,2025-03-27T20:05:00Z,778553,4,Walk
692225,2025-03-27T20:05:00Z,778553,4,Single
677800,2025-03-27T20:05:00Z,778553,4,Home Run
