batterID,timeDate,gamePk,appearance,result
571970,20250319_125504,778564,4,Groundout
571771,20250319_125504,778564,4,Strikeout
621020,20250319_125504,778564,4,Strikeout
691718,20250319_125504,778564,4,Strikeout
608348,20250319_125504,778564,4,Single
542932,20250319_125504,778564,4,Pop Out
624424,20250319_125504,778564,4,Groundout
500743,20250319_125504,778564,4,Walk
681624,20250319_125504,778564,4,Walk
660271,20250319_125504,778564,5,Walk
669242,20250319_125504,778564,5,Grounded Into DP
664023,20250319_125504,778564,5,Pop Out
673548,20250319_125504,778564,5,Strikeout
663656,20250319_125504,778564,5,Double
457759,20250319_125504,778564,1,Walk
807713,20250319_125504,778564,5,Groundout
